,subject,post,latitude,longitude,sentiment,score
28,Street Fair,"Avoid Highland during rush hour, construction is causing major delays.",33.732047,-84.471279,Negative,0.9993498921394348
29,Community Meeting,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.864337,-84.482076,Neutral,0.9978082776069641
30,Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.680817,-84.306615,Neutral,0.999998927116394
31,Local Event,"Avoid Peachtree during rush hour, construction is causing major delays.",33.652416,-84.369235,Negative,0.9967148303985596
32,Public Transport Notice,Heard about a new Maple opening on Peachtree. Definitely worth checking out!,33.850121,-84.52493,Neutral,0.9997518658638
33,Park Renovation,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.757812,-84.420501,Neutral,0.9999616146087646
34,Infrastructure Work,The annual street fair at River is this Saturday. Great food and local crafts!,33.726928,-84.412789,Neutral,0.9999666213989258
35,Traffic Update,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.850404,-84.383899,Neutral,0.9998717308044434
36,Local Event,Excited about the new renovations at Highland. It's going to be great for the community!,33.716809,-84.388251,Positive,0.9999997615814209
37,Traffic Update,Public transport update: 5th line will have altered schedules this week.,33.794127,-84.302802,Neutral,0.9999994039535522
38,Street Fair,Public transport update: Highland line will have altered schedules this week.,33.648893,-84.482737,Neutral,0.9999979734420776
39,Public Transport Notice,Watch out for a giant pothole on North Street. Be careful driving!,33.839641,-84.423099,Neutral,0.9953041076660156
40,Park Renovation,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.688881,-84.528978,Neutral,0.9998717308044434
41,Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.755884,-84.319919,Neutral,0.9999755620956421
42,Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.778443,-84.52542,Positive,0.9999997615814209
43,Local Event,Watch out for a giant pothole on River Street. Be careful driving!,33.856109,-84.540227,Neutral,0.9974990487098694
44,Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.754916,-84.33234,Neutral,0.9965171813964844
45,Street Fair,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.786645,-84.489134,Neutral,0.9999988079071045
46,Infrastructure Work,"Heads up, North is undergoing some major infrastructure work for the next month.",33.787569,-84.328864,Neutral,0.9999599456787109
47,New Restaurant Opening,Heard about a new Main opening on Main. Definitely worth checking out!,33.733571,-84.357876,Neutral,0.9998433589935303
48,Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.806775,-84.459244,Neutral,0.9965171813964844
49,New Restaurant Opening,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.756123,-84.320037,Neutral,0.999969482421875
50,New Restaurant Opening,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.826169,-84.488928,Neutral,0.999975323677063
51,Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.803139,-84.346072,Neutral,0.9996829032897949
52,Community Meeting,Excited about the new renovations at Elm. It's going to be great for the community!,33.7337,-84.487283,Positive,0.9999996423721313
53,Infrastructure Work,Public transport update: 5th line will have altered schedules this week.,33.83837,-84.470809,Neutral,0.9999994039535522
54,Local Event,Don't miss the Maple happening this weekend at Broadway. Always a good time!,33.681125,-84.313857,Positive,0.9495817422866821
55,Pothole Alert,Public transport update: Broadway line will have altered schedules this week.,33.650219,-84.406998,Neutral,0.9999985694885254
56,Street Fair,"Avoid North during rush hour, construction is causing major delays.",33.657986,-84.294009,Negative,0.9987327456474304
57,Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.788868,-84.425527,Neutral,0.9996829032897949
58,Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.792324,-84.340105,Negative,0.9985874891281128
59,Community Meeting,"Avoid Elm during rush hour, construction is causing major delays.",33.780501,-84.357211,Negative,0.9986013770103455
60,Public Transport Notice,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.796526,-84.407271,Neutral,0.9999204874038696
61,Local Event,Public transport update: River line will have altered schedules this week.,33.869377,-84.544818,Neutral,0.999998927116394
62,Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Maple development.,33.869508,-84.481418,Neutral,0.9999988079071045
63,Park Renovation,Community meeting at Broadway this Thursday to discuss the new Highland development.,33.738347,-84.535124,Neutral,0.9999991655349731
64,New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.68136,-84.406122,Neutral,0.9950763583183289
65,Public Transport Notice,Don't miss the River happening this weekend at Elm. Always a good time!,33.723144,-84.396466,Positive,0.9819198250770569
66,Local Event,Heard about a new Broadway opening on Maple. Definitely worth checking out!,33.740887,-84.413076,Neutral,0.9993390440940857
67,Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.780745,-84.399438,Positive,0.9999996423721313
68,Infrastructure Work,Public transport update: Broadway line will have altered schedules this week.,33.862986,-84.544912,Neutral,0.9999985694885254
69,Local Event,Don't miss the Maple happening this weekend at 5th. Always a good time!,33.654684,-84.291751,Positive,0.9445198178291321
70,Park Renovation,"Avoid River during rush hour, construction is causing major delays.",33.721985,-84.537455,Negative,0.9958399534225464
71,Street Fair,Don't miss the Elm happening this weekend at River. Always a good time!,33.839019,-84.492169,Positive,0.9706379175186157
72,Community Meeting,Community meeting at Peachtree this Thursday to discuss the new River development.,33.666261,-84.408216,Neutral,0.9999990463256836
73,Pothole Alert,Watch out for a giant pothole on 5th Street. Be careful driving!,33.815003,-84.547275,Neutral,0.9965265393257141
74,Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.760044,-84.438849,Neutral,0.9999666213989258
75,Park Renovation,"Avoid Peachtree during rush hour, construction is causing major delays.",33.834545,-84.482716,Negative,0.9967148303985596
76,Community Meeting,Don't miss the Elm happening this weekend at Highland. Always a good time!,33.701649,-84.433059,Positive,0.9684734344482422
77,Traffic Update,Don't miss the Peachtree happening this weekend at 5th. Always a good time!,33.726178,-84.361798,Positive,0.9395468831062317
78,Street Fair,Heard about a new North opening on River. Definitely worth checking out!,33.795835,-84.304369,Neutral,0.9992207288742065
79,Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.693534,-84.476728,Neutral,0.9965265393257141
80,Park Renovation,Don't miss the 5th happening this weekend at 5th. Always a good time!,33.778368,-84.311006,Positive,0.9812569618225098
81,Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.678898,-84.392223,Neutral,0.9999755620956421
82,Community Meeting,Public transport update: Main line will have altered schedules this week.,33.656169,-84.440777,Neutral,0.9999990463256836
83,Traffic Update,Public transport update: North line will have altered schedules this week.,33.755445,-84.304862,Neutral,0.9999982118606567
84,Traffic Update,"Avoid Main during rush hour, construction is causing major delays.",33.744256,-84.387358,Negative,0.9989157915115356
85,Community Meeting,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.738709,-84.330845,Neutral,0.999969482421875
86,New Restaurant Opening,Don't miss the River happening this weekend at Broadway. Always a good time!,33.830795,-84.547222,Positive,0.9868090152740479
87,Local Event,Excited about the new renovations at River. It's going to be great for the community!,33.773387,-84.386665,Positive,0.9999996423721313
88,Public Transport Notice,"Avoid Peachtree during rush hour, construction is causing major delays.",33.75496,-84.455759,Negative,0.9967148303985596
89,Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.862988,-84.51699,Neutral,0.9965171813964844
90,Street Fair,The annual street fair at Main is this Saturday. Great food and local crafts!,33.831315,-84.357903,Neutral,0.9998722076416016
91,Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.655097,-84.498564,Neutral,0.999998927116394
92,Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.810647,-84.30677,Neutral,0.9998438358306885
93,Community Meeting,Don't miss the Elm happening this weekend at Broadway. Always a good time!,33.823507,-84.389993,Positive,0.9794493913650513
94,Traffic Update,"Avoid Highland during rush hour, construction is causing major delays.",33.718987,-84.545388,Negative,0.9993498921394348
95,Community Meeting,Excited about the new renovations at Broadway. It's going to be great for the community!,33.823693,-84.376196,Positive,0.9999996423721313
96,New Restaurant Opening,Public transport update: Elm line will have altered schedules this week.,33.680426,-84.483404,Neutral,0.9999988079071045
97,Park Renovation,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.665421,-84.316206,Neutral,0.9998923540115356
98,Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.670927,-84.440792,Neutral,0.9999979734420776
99,Infrastructure Work,"Avoid 5th during rush hour, construction is causing major delays.",33.853252,-84.323798,Negative,0.9998218417167664
100,Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833254,-84.401877,Negative,0.9993498921394348
101,Traffic Update,Watch out for a giant pothole on Maple Street. Be careful driving!,33.886038,-84.514059,Neutral,0.9965986609458923
102,Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.779149,-84.339153,Positive,0.9999997615814209
103,Local Event,Public transport update: Main line will have altered schedules this week.,33.73222,-84.407974,Neutral,0.9999990463256836
104,Community Meeting,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.836225,-84.314621,Neutral,0.9999618530273438
105,Street Fair,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.669952,-84.39256,Neutral,0.9937437176704407
106,Community Meeting,Public transport update: River line will have altered schedules this week.,33.750008,-84.516604,Neutral,0.999998927116394
107,New Restaurant Opening,Excited about the new renovations at River. It's going to be great for the community!,33.648638,-84.508421,Positive,0.9999996423721313
108,Traffic Update,Don't miss the Main happening this weekend at Main. Always a good time!,33.845558,-84.53162,Positive,0.9784865379333496
109,Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.744167,-84.34201,Positive,0.9999997615814209
110,Traffic Update,Heard about a new Maple opening on 5th. Definitely worth checking out!,33.808188,-84.305242,Neutral,0.9996544122695923
111,Traffic Update,Watch out for a giant pothole on North Street. Be careful driving!,33.828713,-84.347551,Neutral,0.9953041076660156
112,Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.717786,-84.367297,Neutral,0.9998438358306885
113,New Restaurant Opening,Excited about the new renovations at Maple. It's going to be great for the community!,33.73667,-84.444029,Positive,0.9999997615814209
114,New Restaurant Opening,Excited about the new renovations at Elm. It's going to be great for the community!,33.656251,-84.528902,Positive,0.9999996423721313
115,Street Fair,Watch out for a giant pothole on River Street. Be careful driving!,33.853768,-84.32914,Neutral,0.9974990487098694
116,Infrastructure Work,Watch out for a giant pothole on Maple Street. Be careful driving!,33.705659,-84.329491,Neutral,0.9965986609458923
117,Infrastructure Work,The annual street fair at North is this Saturday. Great food and local crafts!,33.783202,-84.347085,Neutral,0.9997422099113464
118,Pothole Alert,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.852578,-84.503925,Neutral,0.9999618530273438
119,Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.783814,-84.439307,Neutral,0.9999755620956421
120,Infrastructure Work,Watch out for a giant pothole on 5th Street. Be careful driving!,33.855993,-84.479468,Neutral,0.9965265393257141
121,Pothole Alert,Heard about a new River opening on Broadway. Definitely worth checking out!,33.804679,-84.310513,Neutral,0.9994335770606995
122,Public Transport Notice,Don't miss the Main happening this weekend at 5th. Always a good time!,33.720903,-84.466894,Positive,0.9684960246086121
123,Street Fair,Public transport update: North line will have altered schedules this week.,33.836385,-84.303819,Neutral,0.9999982118606567
124,New Restaurant Opening,"Avoid Highland during rush hour, construction is causing major delays.",33.654248,-84.514758,Negative,0.9993498921394348
125,Park Renovation,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.659248,-84.396105,Neutral,0.9999618530273438
126,Local Event,Heard about a new Peachtree opening on 5th. Definitely worth checking out!,33.672874,-84.505008,Neutral,0.9997780919075012
127,Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.725555,-84.372459,Negative,0.9985874891281128
128,Pothole Alert,Heard about a new Maple opening on North. Definitely worth checking out!,33.766111,-84.527353,Neutral,0.9990699887275696
129,Street Fair,Heard about a new 5th opening on Maple. Definitely worth checking out!,33.768777,-84.422444,Neutral,0.9996542930603027
130,New Restaurant Opening,Excited about the new renovations at North. It's going to be great for the community!,33.748028,-84.515786,Positive,0.9999997615814209
131,Public Transport Notice,Watch out for a giant pothole on Highland Street. Be careful driving!,33.679785,-84.403043,Neutral,0.9961722493171692
132,New Restaurant Opening,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.661505,-84.403786,Neutral,0.9999992847442627
133,New Restaurant Opening,The annual street fair at River is this Saturday. Great food and local crafts!,33.80359,-84.400637,Neutral,0.9999666213989258
134,Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.744022,-84.487921,Neutral,0.9965171813964844
135,Local Event,Don't miss the North happening this weekend at Main. Always a good time!,33.694522,-84.32281,Positive,0.9833787083625793
136,Community Meeting,Public transport update: Peachtree line will have altered schedules this week.,33.731212,-84.45337,Neutral,0.999998927116394
137,Local Event,Community meeting at Highland this Thursday to discuss the new Highland development.,33.840185,-84.317046,Neutral,0.9999992847442627
138,Traffic Update,Don't miss the North happening this weekend at North. Always a good time!,33.771105,-84.524491,Positive,0.9770819544792175
139,Pothole Alert,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.719107,-84.361426,Positive,0.9999996423721313
140,Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.865518,-84.480963,Neutral,0.9999666213989258
141,Community Meeting,Don't miss the Main happening this weekend at North. Always a good time!,33.857056,-84.369202,Positive,0.9690654873847961
142,Infrastructure Work,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.668717,-84.391988,Neutral,0.999620795249939
143,Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.747699,-84.385354,Negative,0.9985874891281128
144,Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.687874,-84.412292,Neutral,0.9999204874038696
145,Traffic Update,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.874456,-84.342003,Neutral,0.999969482421875
146,Pothole Alert,Public transport update: Maple line will have altered schedules this week.,33.849307,-84.355946,Neutral,0.999998927116394
147,Pothole Alert,"Avoid 5th during rush hour, construction is causing major delays.",33.879993,-84.361456,Negative,0.9998218417167664
148,New Restaurant Opening,Community meeting at North this Thursday to discuss the new 5th development.,33.705223,-84.367602,Neutral,0.9999995231628418
149,Public Transport Notice,Community meeting at North this Thursday to discuss the new Elm development.,33.71067,-84.459406,Neutral,0.9999994039535522
150,Traffic Update,Heard about a new Elm opening on River. Definitely worth checking out!,33.831665,-84.358282,Neutral,0.9994244575500488
151,Park Renovation,Don't miss the Main happening this weekend at 5th. Always a good time!,33.757158,-84.512039,Positive,0.9684960246086121
152,Infrastructure Work,Don't miss the Highland happening this weekend at Highland. Always a good time!,33.651743,-84.294793,Positive,0.9580007195472717
153,Community Meeting,Excited about the new renovations at River. It's going to be great for the community!,33.82318,-84.403092,Positive,0.9999996423721313
154,Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.82712,-84.539307,Negative,0.9967148303985596
155,Community Meeting,Don't miss the North happening this weekend at Broadway. Always a good time!,33.670089,-84.319497,Positive,0.9816432595252991
156,Community Meeting,Excited about the new renovations at Highland. It's going to be great for the community!,33.692758,-84.329113,Positive,0.9999997615814209
157,Park Renovation,"Avoid Maple during rush hour, construction is causing major delays.",33.696842,-84.525675,Negative,0.9985874891281128
158,New Restaurant Opening,Don't miss the Main happening this weekend at Highland. Always a good time!,33.715487,-84.361154,Positive,0.9674752354621887
159,Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Broadway development.,33.820695,-84.507256,Neutral,0.999998927116394
160,New Restaurant Opening,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.663385,-84.426094,Neutral,0.9999618530273438
161,Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.65419,-84.323087,Neutral,0.9996829032897949
162,Street Fair,The annual street fair at North is this Saturday. Great food and local crafts!,33.854955,-84.54285,Neutral,0.9997422099113464
163,Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.717557,-84.522722,Neutral,0.9999222755432129
164,New Restaurant Opening,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.823694,-84.351028,Neutral,0.9978082776069641
165,Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.884884,-84.412201,Neutral,0.9996829032897949
166,Community Meeting,"Avoid Main during rush hour, construction is causing major delays.",33.778848,-84.4299,Negative,0.9989157915115356
167,Traffic Update,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.827636,-84.518975,Neutral,0.999969482421875
168,Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.783304,-84.422485,Negative,0.9967148303985596
169,Street Fair,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.862645,-84.318893,Neutral,0.9998587369918823
170,Park Renovation,Community meeting at Highland this Thursday to discuss the new Main development.,33.810507,-84.439597,Neutral,0.9999988079071045
171,Local Event,Watch out for a giant pothole on Highland Street. Be careful driving!,33.775618,-84.54466,Neutral,0.9961722493171692
172,Local Event,Public transport update: River line will have altered schedules this week.,33.728958,-84.437099,Neutral,0.999998927116394
173,Street Fair,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.750179,-84.515404,Neutral,0.9998862743377686
174,Community Meeting,Community meeting at Elm this Thursday to discuss the new Elm development.,33.694542,-84.321571,Neutral,0.9999995231628418
175,New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.821059,-84.492186,Positive,0.9999997615814209
176,Public Transport Notice,Watch out for a giant pothole on Elm Street. Be careful driving!,33.694606,-84.335975,Neutral,0.9965171813964844
177,Pothole Alert,"Heads up, North is undergoing some major infrastructure work for the next month.",33.749566,-84.356455,Neutral,0.9999599456787109
178,Traffic Update,"Avoid River during rush hour, construction is causing major delays.",33.874251,-84.341252,Negative,0.9958399534225464
179,Community Meeting,Public transport update: Broadway line will have altered schedules this week.,33.78754,-84.420936,Neutral,0.9999985694885254
180,Community Meeting,"Avoid Maple during rush hour, construction is causing major delays.",33.747101,-84.347895,Negative,0.9985874891281128
181,Traffic Update,Public transport update: Maple line will have altered schedules this week.,33.648713,-84.531757,Neutral,0.999998927116394
182,Park Renovation,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.648966,-84.506172,Neutral,0.999975323677063
183,Park Renovation,Public transport update: Peachtree line will have altered schedules this week.,33.842065,-84.433849,Neutral,0.999998927116394
184,Traffic Update,Community meeting at River this Thursday to discuss the new River development.,33.867511,-84.387964,Neutral,0.9999990463256836
185,Park Renovation,Public transport update: River line will have altered schedules this week.,33.776156,-84.526553,Neutral,0.999998927116394
186,Community Meeting,Community meeting at Highland this Thursday to discuss the new Main development.,33.80597,-84.386726,Neutral,0.9999988079071045
187,Pothole Alert,Excited about the new renovations at 5th. It's going to be great for the community!,33.865357,-84.411242,Positive,0.9999995231628418
188,New Restaurant Opening,Community meeting at North this Thursday to discuss the new North development.,33.682792,-84.440261,Neutral,0.9999994039535522
189,Street Fair,Community meeting at River this Thursday to discuss the new River development.,33.861159,-84.301193,Neutral,0.9999990463256836
190,Pothole Alert,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.724981,-84.408999,Neutral,0.9999616146087646
191,Traffic Update,Community meeting at Peachtree this Thursday to discuss the new Peachtree development.,33.800514,-84.325956,Neutral,0.9999992847442627
192,New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.84286,-84.357749,Neutral,0.9950763583183289
193,New Restaurant Opening,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.867143,-84.329414,Neutral,0.9996829032897949
194,Public Transport Notice,Community meeting at Broadway this Thursday to discuss the new Broadway development.,33.813504,-84.323811,Neutral,0.9999990463256836
195,New Restaurant Opening,Don't miss the 5th happening this weekend at Broadway. Always a good time!,33.786685,-84.342466,Positive,0.9823001027107239
196,New Restaurant Opening,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.834017,-84.527155,Neutral,0.9999204874038696
197,Public Transport Notice,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.673821,-84.448772,Neutral,0.9978082776069641
198,New Restaurant Opening,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.814277,-84.544034,Neutral,0.9999616146087646
199,Public Transport Notice,Heard about a new 5th opening on North. Definitely worth checking out!,33.79648,-84.513145,Neutral,0.9995406866073608
200,Pothole Alert,Don't miss the Maple happening this weekend at Elm. Always a good time!,33.820828,-84.317629,Positive,0.943983256816864
201,Community Meeting,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.780128,-84.323008,Neutral,0.999975323677063
202,Local Event,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.768153,-84.477101,Neutral,0.999975323677063
203,Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.706951,-84.345791,Neutral,0.9965265393257141
204,Pothole Alert,Community meeting at 5th this Thursday to discuss the new Maple development.,33.84667,-84.368439,Neutral,0.9999992847442627
205,Street Fair,Don't miss the North happening this weekend at Main. Always a good time!,33.684364,-84.477889,Positive,0.9833787083625793
206,New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new 5th development.,33.823725,-84.450355,Neutral,0.9999991655349731
207,Street Fair,Watch out for a giant pothole on North Street. Be careful driving!,33.792628,-84.296402,Neutral,0.9953041076660156
208,Infrastructure Work,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.817474,-84.537525,Neutral,0.9998862743377686
209,Local Event,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.808527,-84.388512,Neutral,0.9999204874038696
210,Public Transport Notice,Heard about a new North opening on Peachtree. Definitely worth checking out!,33.735151,-84.490305,Neutral,0.9995737671852112
211,Infrastructure Work,"Avoid Highland during rush hour, construction is causing major delays.",33.849747,-84.319532,Negative,0.9993498921394348
212,Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.829916,-84.336713,Neutral,0.9999666213989258
213,Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.753568,-84.461553,Neutral,0.9953041076660156
214,Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.787984,-84.547427,Neutral,0.9961722493171692
215,Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.793473,-84.499299,Neutral,0.9996829032897949
216,Street Fair,Public transport update: Highland line will have altered schedules this week.,33.877018,-84.538357,Neutral,0.9999979734420776
217,Street Fair,Public transport update: 5th line will have altered schedules this week.,33.864071,-84.461489,Neutral,0.9999994039535522
218,Traffic Update,Community meeting at Broadway this Thursday to discuss the new River development.,33.751176,-84.433765,Neutral,0.999998927116394
219,Street Fair,Don't miss the Main happening this weekend at Highland. Always a good time!,33.707695,-84.502215,Positive,0.9674752354621887
220,Street Fair,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.729696,-84.489298,Neutral,0.9999992847442627
221,Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.686771,-84.361886,Negative,0.9967148303985596
222,Pothole Alert,"Avoid Elm during rush hour, construction is causing major delays.",33.674609,-84.509267,Negative,0.9986013770103455
223,Infrastructure Work,Heard about a new Broadway opening on North. Definitely worth checking out!,33.711109,-84.440883,Neutral,0.9989987015724182
224,Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.823893,-84.549841,Neutral,0.9961722493171692
225,Public Transport Notice,Excited about the new renovations at 5th. It's going to be great for the community!,33.874793,-84.341772,Positive,0.9999995231628418
226,Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.73437,-84.3112,Neutral,0.9999755620956421
227,Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833393,-84.34641,Negative,0.9993498921394348
228,Infrastructure Work,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.877385,-84.49221,Neutral,0.9978082776069641
229,Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.700305,-84.411674,Neutral,0.9999755620956421
230,Local Event,Don't miss the Maple happening this weekend at Elm. Always a good time!,33.697346,-84.30607,Positive,0.943983256816864
231,Local Event,Public transport update: 5th line will have altered schedules this week.,33.698549,-84.430276,Neutral,0.9999994039535522
232,Traffic Update,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.872428,-84.39135,Neutral,0.9999657869338989
233,Street Fair,Public transport update: Elm line will have altered schedules this week.,33.657647,-84.293349,Neutral,0.9999988079071045
