subject,post,latitude,longitude
Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Maple development.,33.869508,-84.481418
Park Renovation,Community meeting at Broadway this Thursday to discuss the new Highland development.,33.738347,-84.535124
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.68136,-84.406122
Public Transport Notice,Don't miss the River happening this weekend at Elm. Always a good time!,33.723144,-84.396466
Local Event,Heard about a new Broadway opening on Maple. Definitely worth checking out!,33.740887,-84.413076
Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.780745,-84.399438
Infrastructure Work,Public transport update: Broadway line will have altered schedules this week.,33.862986,-84.544912
Local Event,Don't miss the Maple happening this weekend at 5th. Always a good time!,33.654684,-84.291751
Park Renovation,"Avoid River during rush hour, construction is causing major delays.",33.721985,-84.537455
Street Fair,Don't miss the Elm happening this weekend at River. Always a good time!,33.839019,-84.492169
Community Meeting,Community meeting at Peachtree this Thursday to discuss the new River development.,33.666261,-84.408216
Pothole Alert,Watch out for a giant pothole on 5th Street. Be careful driving!,33.815003,-84.547275
Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.760044,-84.438849
Park Renovation,"Avoid Peachtree during rush hour, construction is causing major delays.",33.834545,-84.482716
Community Meeting,Don't miss the Elm happening this weekend at Highland. Always a good time!,33.701649,-84.433059
Traffic Update,Don't miss the Peachtree happening this weekend at 5th. Always a good time!,33.726178,-84.361798
Street Fair,Heard about a new North opening on River. Definitely worth checking out!,33.795835,-84.304369
Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.693534,-84.476728
Park Renovation,Don't miss the 5th happening this weekend at 5th. Always a good time!,33.778368,-84.311006
Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.678898,-84.392223
Community Meeting,Public transport update: Main line will have altered schedules this week.,33.656169,-84.440777
Traffic Update,Public transport update: North line will have altered schedules this week.,33.755445,-84.304862
Traffic Update,"Avoid Main during rush hour, construction is causing major delays.",33.744256,-84.387358
Community Meeting,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.738709,-84.330845
New Restaurant Opening,Don't miss the River happening this weekend at Broadway. Always a good time!,33.830795,-84.547222
Local Event,Excited about the new renovations at River. It's going to be great for the community!,33.773387,-84.386665
Public Transport Notice,"Avoid Peachtree during rush hour, construction is causing major delays.",33.75496,-84.455759
Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.862988,-84.51699
Street Fair,The annual street fair at Main is this Saturday. Great food and local crafts!,33.831315,-84.357903
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.655097,-84.498564
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.810647,-84.30677
Community Meeting,Don't miss the Elm happening this weekend at Broadway. Always a good time!,33.823507,-84.389993
Traffic Update,"Avoid Highland during rush hour, construction is causing major delays.",33.718987,-84.545388
Community Meeting,Excited about the new renovations at Broadway. It's going to be great for the community!,33.823693,-84.376196
New Restaurant Opening,Public transport update: Elm line will have altered schedules this week.,33.680426,-84.483404
Park Renovation,The annual street fair at Highland is this Saturday. Great food and local crafts!,33.665421,-84.316206
Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.670927,-84.440792
Infrastructure Work,"Avoid 5th during rush hour, construction is causing major delays.",33.853252,-84.323798
Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833254,-84.401877
Traffic Update,Watch out for a giant pothole on Maple Street. Be careful driving!,33.886038,-84.514059
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.779149,-84.339153
Local Event,Public transport update: Main line will have altered schedules this week.,33.73222,-84.407974
Community Meeting,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.836225,-84.314621
Street Fair,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.669952,-84.39256
Community Meeting,Public transport update: River line will have altered schedules this week.,33.750008,-84.516604
New Restaurant Opening,Excited about the new renovations at River. It's going to be great for the community!,33.648638,-84.508421
Traffic Update,Don't miss the Main happening this weekend at Main. Always a good time!,33.845558,-84.53162
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.744167,-84.34201
Traffic Update,Heard about a new Maple opening on 5th. Definitely worth checking out!,33.808188,-84.305242
Traffic Update,Watch out for a giant pothole on North Street. Be careful driving!,33.828713,-84.347551
Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.717786,-84.367297
New Restaurant Opening,Excited about the new renovations at Maple. It's going to be great for the community!,33.73667,-84.444029
New Restaurant Opening,Excited about the new renovations at Elm. It's going to be great for the community!,33.656251,-84.528902
Street Fair,Watch out for a giant pothole on River Street. Be careful driving!,33.853768,-84.32914
Infrastructure Work,Watch out for a giant pothole on Maple Street. Be careful driving!,33.705659,-84.329491
Infrastructure Work,The annual street fair at North is this Saturday. Great food and local crafts!,33.783202,-84.347085
Pothole Alert,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.852578,-84.503925
Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.783814,-84.439307
Infrastructure Work,Watch out for a giant pothole on 5th Street. Be careful driving!,33.855993,-84.479468
Pothole Alert,Heard about a new River opening on Broadway. Definitely worth checking out!,33.804679,-84.310513
Public Transport Notice,Don't miss the Main happening this weekend at 5th. Always a good time!,33.720903,-84.466894
Street Fair,Public transport update: North line will have altered schedules this week.,33.836385,-84.303819
New Restaurant Opening,"Avoid Highland during rush hour, construction is causing major delays.",33.654248,-84.514758
Park Renovation,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.659248,-84.396105
Local Event,Heard about a new Peachtree opening on 5th. Definitely worth checking out!,33.672874,-84.505008
Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.725555,-84.372459
Pothole Alert,Heard about a new Maple opening on North. Definitely worth checking out!,33.766111,-84.527353
Street Fair,Heard about a new 5th opening on Maple. Definitely worth checking out!,33.768777,-84.422444
New Restaurant Opening,Excited about the new renovations at North. It's going to be great for the community!,33.748028,-84.515786
Public Transport Notice,Watch out for a giant pothole on Highland Street. Be careful driving!,33.679785,-84.403043
New Restaurant Opening,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.661505,-84.403786
New Restaurant Opening,The annual street fair at River is this Saturday. Great food and local crafts!,33.80359,-84.400637
Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.744022,-84.487921
Local Event,Don't miss the North happening this weekend at Main. Always a good time!,33.694522,-84.32281
Community Meeting,Public transport update: Peachtree line will have altered schedules this week.,33.731212,-84.45337
Local Event,Community meeting at Highland this Thursday to discuss the new Highland development.,33.840185,-84.317046
Traffic Update,Don't miss the North happening this weekend at North. Always a good time!,33.771105,-84.524491
Pothole Alert,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.719107,-84.361426
Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.865518,-84.480963
Community Meeting,Don't miss the Main happening this weekend at North. Always a good time!,33.857056,-84.369202
Infrastructure Work,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.668717,-84.391988
Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.747699,-84.385354
Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.687874,-84.412292
Traffic Update,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.874456,-84.342003
Pothole Alert,Public transport update: Maple line will have altered schedules this week.,33.849307,-84.355946
Pothole Alert,"Avoid 5th during rush hour, construction is causing major delays.",33.879993,-84.361456
New Restaurant Opening,Community meeting at North this Thursday to discuss the new 5th development.,33.705223,-84.367602
Public Transport Notice,Community meeting at North this Thursday to discuss the new Elm development.,33.71067,-84.459406
Traffic Update,Heard about a new Elm opening on River. Definitely worth checking out!,33.831665,-84.358282
Park Renovation,Don't miss the Main happening this weekend at 5th. Always a good time!,33.757158,-84.512039
Infrastructure Work,Don't miss the Highland happening this weekend at Highland. Always a good time!,33.651743,-84.294793
Community Meeting,Excited about the new renovations at River. It's going to be great for the community!,33.82318,-84.403092
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.82712,-84.539307
Community Meeting,Don't miss the North happening this weekend at Broadway. Always a good time!,33.670089,-84.319497
Community Meeting,Excited about the new renovations at Highland. It's going to be great for the community!,33.692758,-84.329113
Park Renovation,"Avoid Maple during rush hour, construction is causing major delays.",33.696842,-84.525675
New Restaurant Opening,Don't miss the Main happening this weekend at Highland. Always a good time!,33.715487,-84.361154
Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Broadway development.,33.820695,-84.507256
New Restaurant Opening,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.663385,-84.426094
Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.65419,-84.323087
Street Fair,The annual street fair at North is this Saturday. Great food and local crafts!,33.854955,-84.54285
Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.717557,-84.522722
New Restaurant Opening,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.823694,-84.351028
Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.884884,-84.412201
Community Meeting,"Avoid Main during rush hour, construction is causing major delays.",33.778848,-84.4299
Traffic Update,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.827636,-84.518975
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.783304,-84.422485
Street Fair,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.862645,-84.318893
Park Renovation,Community meeting at Highland this Thursday to discuss the new Main development.,33.810507,-84.439597
Local Event,Watch out for a giant pothole on Highland Street. Be careful driving!,33.775618,-84.54466
Local Event,Public transport update: River line will have altered schedules this week.,33.728958,-84.437099
Street Fair,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.750179,-84.515404
Community Meeting,Community meeting at Elm this Thursday to discuss the new Elm development.,33.694542,-84.321571
New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.821059,-84.492186
Public Transport Notice,Watch out for a giant pothole on Elm Street. Be careful driving!,33.694606,-84.335975
Pothole Alert,"Heads up, North is undergoing some major infrastructure work for the next month.",33.749566,-84.356455
Traffic Update,"Avoid River during rush hour, construction is causing major delays.",33.874251,-84.341252
Community Meeting,Public transport update: Broadway line will have altered schedules this week.,33.78754,-84.420936
Community Meeting,"Avoid Maple during rush hour, construction is causing major delays.",33.747101,-84.347895
Traffic Update,Public transport update: Maple line will have altered schedules this week.,33.648713,-84.531757
Park Renovation,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.648966,-84.506172
Park Renovation,Public transport update: Peachtree line will have altered schedules this week.,33.842065,-84.433849
Traffic Update,Community meeting at River this Thursday to discuss the new River development.,33.867511,-84.387964
Park Renovation,Public transport update: River line will have altered schedules this week.,33.776156,-84.526553
Community Meeting,Community meeting at Highland this Thursday to discuss the new Main development.,33.80597,-84.386726
Pothole Alert,Excited about the new renovations at 5th. It's going to be great for the community!,33.865357,-84.411242
New Restaurant Opening,Community meeting at North this Thursday to discuss the new North development.,33.682792,-84.440261
Street Fair,Community meeting at River this Thursday to discuss the new River development.,33.861159,-84.301193
Pothole Alert,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.724981,-84.408999
Traffic Update,Community meeting at Peachtree this Thursday to discuss the new Peachtree development.,33.800514,-84.325956
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.84286,-84.357749
New Restaurant Opening,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.867143,-84.329414
Public Transport Notice,Community meeting at Broadway this Thursday to discuss the new Broadway development.,33.813504,-84.323811
New Restaurant Opening,Don't miss the 5th happening this weekend at Broadway. Always a good time!,33.786685,-84.342466
New Restaurant Opening,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.834017,-84.527155
Public Transport Notice,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.673821,-84.448772
New Restaurant Opening,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.814277,-84.544034
Public Transport Notice,Heard about a new 5th opening on North. Definitely worth checking out!,33.79648,-84.513145
Pothole Alert,Don't miss the Maple happening this weekend at Elm. Always a good time!,33.820828,-84.317629
Community Meeting,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.780128,-84.323008
Local Event,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.768153,-84.477101
Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.706951,-84.345791
Pothole Alert,Community meeting at 5th this Thursday to discuss the new Maple development.,33.84667,-84.368439
Street Fair,Don't miss the North happening this weekend at Main. Always a good time!,33.684364,-84.477889
New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new 5th development.,33.823725,-84.450355
Street Fair,Watch out for a giant pothole on North Street. Be careful driving!,33.792628,-84.296402
Infrastructure Work,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.817474,-84.537525
Local Event,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.808527,-84.388512
Public Transport Notice,Heard about a new North opening on Peachtree. Definitely worth checking out!,33.735151,-84.490305
Infrastructure Work,"Avoid Highland during rush hour, construction is causing major delays.",33.849747,-84.319532
Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.829916,-84.336713
Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.753568,-84.461553
Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.787984,-84.547427
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.793473,-84.499299
Street Fair,Public transport update: Highland line will have altered schedules this week.,33.877018,-84.538357
Street Fair,Public transport update: 5th line will have altered schedules this week.,33.864071,-84.461489
Traffic Update,Community meeting at Broadway this Thursday to discuss the new River development.,33.751176,-84.433765
Street Fair,Don't miss the Main happening this weekend at Highland. Always a good time!,33.707695,-84.502215
Street Fair,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.729696,-84.489298
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.686771,-84.361886
Pothole Alert,"Avoid Elm during rush hour, construction is causing major delays.",33.674609,-84.509267
Infrastructure Work,Heard about a new Broadway opening on North. Definitely worth checking out!,33.711109,-84.440883
Pothole Alert,Watch out for a giant pothole on Highland Street. Be careful driving!,33.823893,-84.549841
Public Transport Notice,Excited about the new renovations at 5th. It's going to be great for the community!,33.874793,-84.341772
Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.73437,-84.3112
Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833393,-84.34641
Infrastructure Work,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.877385,-84.49221
Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.700305,-84.411674
Local Event,Don't miss the Maple happening this weekend at Elm. Always a good time!,33.697346,-84.30607
Local Event,Public transport update: 5th line will have altered schedules this week.,33.698549,-84.430276
Traffic Update,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.872428,-84.39135
Street Fair,Public transport update: Elm line will have altered schedules this week.,33.657647,-84.293349
Park Renovation,The annual street fair at River is this Saturday. Great food and local crafts!,33.78126,-84.484085
Local Event,"Avoid Broadway during rush hour, construction is causing major delays.",33.834159,-84.343204
Traffic Update,"Heads up, River is undergoing some major infrastructure work for the next month.",33.769814,-84.326374
Public Transport Notice,Public transport update: Main line will have altered schedules this week.,33.870124,-84.490556
Pothole Alert,Don't miss the Elm happening this weekend at River. Always a good time!,33.747556,-84.503022
Street Fair,"Avoid Elm during rush hour, construction is causing major delays.",33.824137,-84.536509
Pothole Alert,"Heads up, River is undergoing some major infrastructure work for the next month.",33.812631,-84.468287
Street Fair,Heard about a new Maple opening on River. Definitely worth checking out!,33.816919,-84.320045
Traffic Update,Excited about the new renovations at Main. It's going to be great for the community!,33.750726,-84.348868
Pothole Alert,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.773175,-84.545844
Community Meeting,Don't miss the River happening this weekend at Maple. Always a good time!,33.786973,-84.458441
Local Event,Excited about the new renovations at North. It's going to be great for the community!,33.836682,-84.341625
Park Renovation,Public transport update: River line will have altered schedules this week.,33.688555,-84.338753
Local Event,Heard about a new River opening on 5th. Definitely worth checking out!,33.698896,-84.498366
Traffic Update,Excited about the new renovations at Maple. It's going to be great for the community!,33.873963,-84.504124
Park Renovation,Excited about the new renovations at River. It's going to be great for the community!,33.679903,-84.514089
New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.875416,-84.401398
Pothole Alert,"Avoid Main during rush hour, construction is causing major delays.",33.861825,-84.44345
New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.817241,-84.397149
Public Transport Notice,"Avoid North during rush hour, construction is causing major delays.",33.67616,-84.537307
Public Transport Notice,Community meeting at Peachtree this Thursday to discuss the new North development.,33.814203,-84.510676
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.828168,-84.403612
Street Fair,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.672773,-84.47771
Public Transport Notice,Community meeting at 5th this Thursday to discuss the new Elm development.,33.882032,-84.520479
Pothole Alert,Community meeting at River this Thursday to discuss the new Maple development.,33.721778,-84.331448
New Restaurant Opening,Public transport update: Maple line will have altered schedules this week.,33.762922,-84.52911
Park Renovation,Watch out for a giant pothole on North Street. Be careful driving!,33.794831,-84.319314
Local Event,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.742908,-84.485712
Street Fair,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.743166,-84.517836
Pothole Alert,Excited about the new renovations at Broadway. It's going to be great for the community!,33.671925,-84.540692
Pothole Alert,Heard about a new Elm opening on Peachtree. Definitely worth checking out!,33.664524,-84.437829
Street Fair,"Avoid Elm during rush hour, construction is causing major delays.",33.694041,-84.537479
Pothole Alert,Public transport update: 5th line will have altered schedules this week.,33.883706,-84.484593
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.845874,-84.522536
Traffic Update,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.735997,-84.394492
Infrastructure Work,Don't miss the Broadway happening this weekend at Highland. Always a good time!,33.863122,-84.31907
Public Transport Notice,Don't miss the Main happening this weekend at Peachtree. Always a good time!,33.8817,-84.386807
Street Fair,Watch out for a giant pothole on Highland Street. Be careful driving!,33.727394,-84.293626
Community Meeting,Excited about the new renovations at Highland. It's going to be great for the community!,33.81237,-84.40133
Pothole Alert,"Avoid Elm during rush hour, construction is causing major delays.",33.746901,-84.396658
Park Renovation,Heard about a new Main opening on Main. Definitely worth checking out!,33.679254,-84.519091
New Restaurant Opening,"Avoid Peachtree during rush hour, construction is causing major delays.",33.831294,-84.458805
Community Meeting,Community meeting at Broadway this Thursday to discuss the new River development.,33.771532,-84.370628
Traffic Update,Heard about a new Main opening on Main. Definitely worth checking out!,33.834521,-84.30382
Street Fair,Public transport update: Elm line will have altered schedules this week.,33.716358,-84.390591
Infrastructure Work,Don't miss the River happening this weekend at 5th. Always a good time!,33.830448,-84.467288
Public Transport Notice,Watch out for a giant pothole on Elm Street. Be careful driving!,33.692268,-84.493559
Street Fair,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.764795,-84.504291
Local Event,"Avoid Highland during rush hour, construction is causing major delays.",33.803739,-84.496754
Public Transport Notice,"Avoid 5th during rush hour, construction is causing major delays.",33.797197,-84.437994
New Restaurant Opening,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.736339,-84.445462
Community Meeting,Heard about a new 5th opening on River. Definitely worth checking out!,33.770552,-84.408011
Public Transport Notice,Excited about the new renovations at Elm. It's going to be great for the community!,33.760108,-84.374738
Public Transport Notice,Excited about the new renovations at North. It's going to be great for the community!,33.829973,-84.311407
Community Meeting,Don't miss the River happening this weekend at Main. Always a good time!,33.756161,-84.345577
Local Event,Public transport update: 5th line will have altered schedules this week.,33.855556,-84.541284
Infrastructure Work,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.876735,-84.461804
Public Transport Notice,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.720606,-84.351188
Street Fair,Heard about a new Main opening on Main. Definitely worth checking out!,33.661704,-84.544452
Pothole Alert,Heard about a new 5th opening on Broadway. Definitely worth checking out!,33.666596,-84.352761
Infrastructure Work,Public transport update: Broadway line will have altered schedules this week.,33.709532,-84.368522
New Restaurant Opening,Excited about the new renovations at River. It's going to be great for the community!,33.857737,-84.422934
Community Meeting,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.658567,-84.375004
Pothole Alert,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.867293,-84.457367
Infrastructure Work,Community meeting at 5th this Thursday to discuss the new Broadway development.,33.727221,-84.484022
Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.872744,-84.42672
Traffic Update,Watch out for a giant pothole on 5th Street. Be careful driving!,33.826429,-84.434133
Community Meeting,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.797802,-84.398842
Street Fair,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.86393,-84.415848
Public Transport Notice,"Heads up, Maple is undergoing some major infrastructure work for the next month.",33.832779,-84.517706
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.813588,-84.48205
Park Renovation,Public transport update: Maple line will have altered schedules this week.,33.84302,-84.514108
Community Meeting,Community meeting at Main this Thursday to discuss the new River development.,33.704098,-84.499861
Traffic Update,Community meeting at 5th this Thursday to discuss the new Maple development.,33.699314,-84.315212
Infrastructure Work,Don't miss the River happening this weekend at River. Always a good time!,33.732429,-84.40901
New Restaurant Opening,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.67932,-84.334523
Local Event,Public transport update: Highland line will have altered schedules this week.,33.826627,-84.512657
Local Event,Public transport update: River line will have altered schedules this week.,33.746433,-84.384762
New Restaurant Opening,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.830603,-84.404232
Street Fair,"Avoid Highland during rush hour, construction is causing major delays.",33.780449,-84.513437
Traffic Update,Community meeting at Maple this Thursday to discuss the new Elm development.,33.796176,-84.307847
Public Transport Notice,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.709398,-84.350378
Infrastructure Work,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.751901,-84.320997
New Restaurant Opening,"Avoid Elm during rush hour, construction is causing major delays.",33.761961,-84.376886
Local Event,Excited about the new renovations at Highland. It's going to be great for the community!,33.704723,-84.447599
