subject,post,latitude,longitude,sentiment,score,area
Public Transport Notice,Watch out for a giant pothole on North Street. Be careful driving!,33.839641,-84.423099,Neutral,0.9953041076660156,Other Areas
Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.755884,-84.319919,Neutral,0.999975562,Other Areas
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.778443,-84.52542,Positive,0.9999997615814208,Other Areas
Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.754916,-84.33234,Neutral,0.9965171813964844,Other Areas
Street Fair,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.786645,-84.489134,Neutral,0.9999988079071044,Other Areas
Infrastructure Work,"Heads up, North is undergoing some major infrastructure work for the next month.",33.787569,-84.328864,Neutral,0.9999599456787108,Other Areas
New Restaurant Opening,Heard about a new Main opening on Main. Definitely worth checking out!,33.733571,-84.357876,Neutral,0.9998433589935304,Other Areas
Traffic Update,Watch out for a giant pothole on Elm Street. Be careful driving!,33.806775,-84.459244,Neutral,0.9965171813964844,Other Areas
New Restaurant Opening,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.756123,-84.320037,Neutral,0.999969482,Other Areas
New Restaurant Opening,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.826169,-84.488928,Neutral,0.999975324,Other Areas
Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.803139,-84.346072,Neutral,0.9996829032897948,Other Areas
Community Meeting,Excited about the new renovations at Elm. It's going to be great for the community!,33.7337,-84.487283,Positive,0.9999996423721312,Other Areas
Infrastructure Work,Public transport update: 5th line will have altered schedules this week.,33.83837,-84.470809,Neutral,0.9999994039535522,Other Areas
Pothole Alert,Public transport update: Broadway line will have altered schedules this week.,33.650219,-84.406998,Neutral,0.9999985694885254,Other Areas
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.788868,-84.425527,Neutral,0.9996829032897948,Other Areas
Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.792324,-84.340105,Negative,0.9985874891281128,Other Areas
Community Meeting,"Avoid Elm during rush hour, construction is causing major delays.",33.780501,-84.357211,Negative,0.9986013770103456,Other Areas
Public Transport Notice,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.796526,-84.407271,Neutral,0.9999204874038696,Other Areas
Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Maple development.,33.869508,-84.481418,Neutral,0.9999988079071044,Other Areas
Park Renovation,Community meeting at Broadway this Thursday to discuss the new Highland development.,33.738347,-84.535124,Neutral,0.9999991655349731,Other Areas
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.68136,-84.406122,Neutral,0.9950763583183287,Other Areas
Public Transport Notice,Don't miss the River happening this weekend at Elm. Always a good time!,33.723144,-84.396466,Positive,0.9819198250770568,Other Areas
Local Event,Heard about a new Broadway opening on Maple. Definitely worth checking out!,33.740887,-84.413076,Neutral,0.9993390440940856,Other Areas
Infrastructure Work,Excited about the new renovations at Broadway. It's going to be great for the community!,33.780745,-84.399438,Positive,0.9999996423721312,Georgia Tech
Street Fair,Don't miss the Elm happening this weekend at River. Always a good time!,33.839019,-84.492169,Positive,0.9706379175186156,Other Areas
Community Meeting,Community meeting at Peachtree this Thursday to discuss the new River development.,33.666261,-84.408216,Neutral,0.9999990463256836,Other Areas
Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.760044,-84.438849,Neutral,0.9999666213989258,Other Areas
Park Renovation,"Avoid Peachtree during rush hour, construction is causing major delays.",33.834545,-84.482716,Negative,0.9967148303985596,Other Areas
Community Meeting,Don't miss the Elm happening this weekend at Highland. Always a good time!,33.701649,-84.433059,Positive,0.9684734344482422,Other Areas
Traffic Update,Don't miss the Peachtree happening this weekend at 5th. Always a good time!,33.726178,-84.361798,Positive,0.9395468831062316,Other Areas
Street Fair,Heard about a new North opening on River. Definitely worth checking out!,33.795835,-84.304369,Neutral,0.9992207288742064,Other Areas
Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.693534,-84.476728,Neutral,0.996526539,Other Areas
Park Renovation,Don't miss the 5th happening this weekend at 5th. Always a good time!,33.778368,-84.311006,Positive,0.9812569618225098,Other Areas
Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.678898,-84.392223,Neutral,0.999975562,Other Areas
Community Meeting,Public transport update: Main line will have altered schedules this week.,33.656169,-84.440777,Neutral,0.9999990463256836,Other Areas
Traffic Update,Public transport update: North line will have altered schedules this week.,33.755445,-84.304862,Neutral,0.9999982118606568,Other Areas
Traffic Update,"Avoid Main during rush hour, construction is causing major delays.",33.744256,-84.387358,Negative,0.9989157915115356,GSU
Community Meeting,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.738709,-84.330845,Neutral,0.999969482,Other Areas
Local Event,Excited about the new renovations at River. It's going to be great for the community!,33.773387,-84.386665,Positive,0.9999996423721312,Georgia Tech
Public Transport Notice,"Avoid Peachtree during rush hour, construction is causing major delays.",33.75496,-84.455759,Negative,0.9967148303985596,Other Areas
Street Fair,The annual street fair at Main is this Saturday. Great food and local crafts!,33.831315,-84.357903,Neutral,0.9998722076416016,Other Areas
Park Renovation,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.810647,-84.30677,Neutral,0.9998438358306884,Other Areas
Community Meeting,Don't miss the Elm happening this weekend at Broadway. Always a good time!,33.823507,-84.389993,Positive,0.9794493913650512,Other Areas
Community Meeting,Excited about the new renovations at Broadway. It's going to be great for the community!,33.823693,-84.376196,Positive,0.9999996423721312,Other Areas
New Restaurant Opening,Public transport update: Elm line will have altered schedules this week.,33.680426,-84.483404,Neutral,0.9999988079071044,Other Areas
Park Renovation,Public transport update: Highland line will have altered schedules this week.,33.670927,-84.440792,Neutral,0.9999979734420776,East Point
Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833254,-84.401877,Negative,0.9993498921394348,Buckhead
Local Event,Excited about the new renovations at Maple. It's going to be great for the community!,33.779149,-84.339153,Positive,0.9999997615814208,Other Areas
Local Event,Public transport update: Main line will have altered schedules this week.,33.73222,-84.407974,Neutral,0.9999990463256836,Other Areas
Community Meeting,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.836225,-84.314621,Neutral,0.9999618530273438,Other Areas
Street Fair,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.669952,-84.39256,Neutral,0.9937437176704408,Other Areas
Community Meeting,Public transport update: River line will have altered schedules this week.,33.750008,-84.516604,Neutral,0.999998927,Other Areas
Pothole Alert,Excited about the new renovations at Main. It's going to be great for the community!,33.744167,-84.34201,Positive,0.9999997615814208,Other Areas
Traffic Update,Heard about a new Maple opening on 5th. Definitely worth checking out!,33.808188,-84.305242,Neutral,0.9996544122695924,Other Areas
Traffic Update,Watch out for a giant pothole on North Street. Be careful driving!,33.828713,-84.347551,Neutral,0.9953041076660156,Other Areas
Pothole Alert,"Heads up, Highland is undergoing some major infrastructure work for the next month.",33.717786,-84.367297,Neutral,0.9998438358306884,Other Areas
New Restaurant Opening,Excited about the new renovations at Maple. It's going to be great for the community!,33.73667,-84.444029,Positive,0.9999997615814208,Other Areas
Infrastructure Work,Watch out for a giant pothole on Maple Street. Be careful driving!,33.705659,-84.329491,Neutral,0.9965986609458924,Other Areas
Infrastructure Work,The annual street fair at North is this Saturday. Great food and local crafts!,33.783202,-84.347085,Neutral,0.9997422099113464,Other Areas
Pothole Alert,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.852578,-84.503925,Neutral,0.9999618530273438,Other Areas
Local Event,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.783814,-84.439307,Neutral,0.999975562,Other Areas
Infrastructure Work,Watch out for a giant pothole on 5th Street. Be careful driving!,33.855993,-84.479468,Neutral,0.996526539,Other Areas
Pothole Alert,Heard about a new River opening on Broadway. Definitely worth checking out!,33.804679,-84.310513,Neutral,0.9994335770606996,Other Areas
Public Transport Notice,Don't miss the Main happening this weekend at 5th. Always a good time!,33.720903,-84.466894,Positive,0.968496025,Other Areas
Park Renovation,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.659248,-84.396105,Neutral,0.9999618530273438,Other Areas
Infrastructure Work,"Avoid Maple during rush hour, construction is causing major delays.",33.725555,-84.372459,Negative,0.9985874891281128,Other Areas
Pothole Alert,Heard about a new Maple opening on North. Definitely worth checking out!,33.766111,-84.527353,Neutral,0.9990699887275696,Other Areas
Street Fair,Heard about a new 5th opening on Maple. Definitely worth checking out!,33.768777,-84.422444,Neutral,0.9996542930603028,Other Areas
New Restaurant Opening,Excited about the new renovations at North. It's going to be great for the community!,33.748028,-84.515786,Positive,0.9999997615814208,Other Areas
Public Transport Notice,Watch out for a giant pothole on Highland Street. Be careful driving!,33.679785,-84.403043,Neutral,0.9961722493171692,Other Areas
New Restaurant Opening,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.661505,-84.403786,Neutral,0.9999992847442628,Other Areas
New Restaurant Opening,The annual street fair at River is this Saturday. Great food and local crafts!,33.80359,-84.400637,Neutral,0.9999666213989258,Other Areas
Infrastructure Work,Watch out for a giant pothole on Elm Street. Be careful driving!,33.744022,-84.487921,Neutral,0.9965171813964844,Other Areas
Local Event,Don't miss the North happening this weekend at Main. Always a good time!,33.694522,-84.32281,Positive,0.9833787083625792,Other Areas
Community Meeting,Public transport update: Peachtree line will have altered schedules this week.,33.731212,-84.45337,Neutral,0.999998927,Other Areas
Traffic Update,Don't miss the North happening this weekend at North. Always a good time!,33.771105,-84.524491,Positive,0.9770819544792176,Other Areas
Pothole Alert,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.719107,-84.361426,Positive,0.9999996423721312,Other Areas
Traffic Update,The annual street fair at River is this Saturday. Great food and local crafts!,33.865518,-84.480963,Neutral,0.9999666213989258,Other Areas
Community Meeting,Don't miss the Main happening this weekend at North. Always a good time!,33.857056,-84.369202,Positive,0.969065487,Other Areas
Infrastructure Work,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.668717,-84.391988,Neutral,0.999620795,Other Areas
Public Transport Notice,"Avoid Maple during rush hour, construction is causing major delays.",33.747699,-84.385354,Negative,0.9985874891281128,GSU
Infrastructure Work,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.687874,-84.412292,Neutral,0.9999204874038696,Other Areas
Pothole Alert,Public transport update: Maple line will have altered schedules this week.,33.849307,-84.355946,Neutral,0.999998927,Other Areas
New Restaurant Opening,Community meeting at North this Thursday to discuss the new 5th development.,33.705223,-84.367602,Neutral,0.9999995231628418,Other Areas
Public Transport Notice,Community meeting at North this Thursday to discuss the new Elm development.,33.71067,-84.459406,Neutral,0.9999994039535522,Other Areas
Traffic Update,Heard about a new Elm opening on River. Definitely worth checking out!,33.831665,-84.358282,Neutral,0.9994244575500488,Other Areas
Park Renovation,Don't miss the Main happening this weekend at 5th. Always a good time!,33.757158,-84.512039,Positive,0.968496025,Other Areas
Community Meeting,Excited about the new renovations at River. It's going to be great for the community!,33.82318,-84.403092,Positive,0.9999996423721312,Other Areas
Community Meeting,Excited about the new renovations at Highland. It's going to be great for the community!,33.692758,-84.329113,Positive,0.9999997615814208,Other Areas
New Restaurant Opening,Don't miss the Main happening this weekend at Highland. Always a good time!,33.715487,-84.361154,Positive,0.9674752354621888,Other Areas
Infrastructure Work,Community meeting at Maple this Thursday to discuss the new Broadway development.,33.820695,-84.507256,Neutral,0.999998927,Other Areas
New Restaurant Opening,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.663385,-84.426094,Neutral,0.9999618530273438,Other Areas
Community Meeting,"Heads up, River is undergoing some major infrastructure work for the next month.",33.717557,-84.522722,Neutral,0.9999222755432128,Other Areas
New Restaurant Opening,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.823694,-84.351028,Neutral,0.997808278,Other Areas
Public Transport Notice,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.884884,-84.412201,Neutral,0.9996829032897948,Other Areas
Community Meeting,"Avoid Main during rush hour, construction is causing major delays.",33.778848,-84.4299,Negative,0.9989157915115356,Other Areas
Traffic Update,"Heads up, Elm is undergoing some major infrastructure work for the next month.",33.827636,-84.518975,Neutral,0.999969482,Other Areas
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.783304,-84.422485,Negative,0.9967148303985596,Other Areas
Park Renovation,Community meeting at Highland this Thursday to discuss the new Main development.,33.810507,-84.439597,Neutral,0.9999988079071044,Other Areas
Local Event,Public transport update: River line will have altered schedules this week.,33.728958,-84.437099,Neutral,0.999998927,Other Areas
Street Fair,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.750179,-84.515404,Neutral,0.9998862743377686,Other Areas
Community Meeting,Community meeting at Elm this Thursday to discuss the new Elm development.,33.694542,-84.321571,Neutral,0.9999995231628418,Other Areas
New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.821059,-84.492186,Positive,0.9999997615814208,Other Areas
Public Transport Notice,Watch out for a giant pothole on Elm Street. Be careful driving!,33.694606,-84.335975,Neutral,0.9965171813964844,Other Areas
Pothole Alert,"Heads up, North is undergoing some major infrastructure work for the next month.",33.749566,-84.356455,Neutral,0.9999599456787108,Other Areas
Community Meeting,Public transport update: Broadway line will have altered schedules this week.,33.78754,-84.420936,Neutral,0.9999985694885254,Other Areas
Community Meeting,"Avoid Maple during rush hour, construction is causing major delays.",33.747101,-84.347895,Negative,0.9985874891281128,Other Areas
Park Renovation,Public transport update: Peachtree line will have altered schedules this week.,33.842065,-84.433849,Neutral,0.999998927,Other Areas
Traffic Update,Community meeting at River this Thursday to discuss the new River development.,33.867511,-84.387964,Neutral,0.9999990463256836,Other Areas
Park Renovation,Public transport update: River line will have altered schedules this week.,33.776156,-84.526553,Neutral,0.999998927,Other Areas
Community Meeting,Community meeting at Highland this Thursday to discuss the new Main development.,33.80597,-84.386726,Neutral,0.9999988079071044,Other Areas
Pothole Alert,Excited about the new renovations at 5th. It's going to be great for the community!,33.865357,-84.411242,Positive,0.9999995231628418,Other Areas
New Restaurant Opening,Community meeting at North this Thursday to discuss the new North development.,33.682792,-84.440261,Neutral,0.9999994039535522,East Point
Pothole Alert,The annual street fair at 5th is this Saturday. Great food and local crafts!,33.724981,-84.408999,Neutral,0.9999616146087646,Other Areas
Traffic Update,Community meeting at Peachtree this Thursday to discuss the new Peachtree development.,33.800514,-84.325956,Neutral,0.9999992847442628,Emory
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.84286,-84.357749,Neutral,0.9950763583183287,Other Areas
Public Transport Notice,Community meeting at Broadway this Thursday to discuss the new Broadway development.,33.813504,-84.323811,Neutral,0.9999990463256836,Other Areas
New Restaurant Opening,Don't miss the 5th happening this weekend at Broadway. Always a good time!,33.786685,-84.342466,Positive,0.982300103,Other Areas
Public Transport Notice,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.673821,-84.448772,Neutral,0.997808278,Other Areas
Public Transport Notice,Heard about a new 5th opening on North. Definitely worth checking out!,33.79648,-84.513145,Neutral,0.9995406866073608,Other Areas
Pothole Alert,Don't miss the Maple happening this weekend at Elm. Always a good time!,33.820828,-84.317629,Positive,0.943983257,Other Areas
Community Meeting,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.780128,-84.323008,Neutral,0.999975324,Other Areas
Local Event,The annual street fair at Maple is this Saturday. Great food and local crafts!,33.768153,-84.477101,Neutral,0.999975324,Other Areas
Local Event,Watch out for a giant pothole on 5th Street. Be careful driving!,33.706951,-84.345791,Neutral,0.996526539,Other Areas
Pothole Alert,Community meeting at 5th this Thursday to discuss the new Maple development.,33.84667,-84.368439,Neutral,0.9999992847442628,Other Areas
Street Fair,Don't miss the North happening this weekend at Main. Always a good time!,33.684364,-84.477889,Positive,0.9833787083625792,Other Areas
New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new 5th development.,33.823725,-84.450355,Neutral,0.9999991655349731,Other Areas
Street Fair,Watch out for a giant pothole on North Street. Be careful driving!,33.792628,-84.296402,Neutral,0.9953041076660156,Other Areas
Local Event,"Heads up, Broadway is undergoing some major infrastructure work for the next month.",33.808527,-84.388512,Neutral,0.9999204874038696,Other Areas
Public Transport Notice,Heard about a new North opening on Peachtree. Definitely worth checking out!,33.735151,-84.490305,Neutral,0.9995737671852112,Other Areas
Street Fair,The annual street fair at River is this Saturday. Great food and local crafts!,33.829916,-84.336713,Neutral,0.9999666213989258,Other Areas
Infrastructure Work,Watch out for a giant pothole on North Street. Be careful driving!,33.753568,-84.461553,Neutral,0.9953041076660156,Other Areas
Infrastructure Work,"Heads up, Peachtree is undergoing some major infrastructure work for the next month.",33.793473,-84.499299,Neutral,0.9996829032897948,Other Areas
Street Fair,Public transport update: 5th line will have altered schedules this week.,33.864071,-84.461489,Neutral,0.9999994039535522,Other Areas
Traffic Update,Community meeting at Broadway this Thursday to discuss the new River development.,33.751176,-84.433765,Neutral,0.999998927,Other Areas
Street Fair,Don't miss the Main happening this weekend at Highland. Always a good time!,33.707695,-84.502215,Positive,0.9674752354621888,Other Areas
Street Fair,Community meeting at Elm this Thursday to discuss the new Peachtree development.,33.729696,-84.489298,Neutral,0.9999992847442628,Other Areas
Street Fair,"Avoid Peachtree during rush hour, construction is causing major delays.",33.686771,-84.361886,Negative,0.9967148303985596,Other Areas
Infrastructure Work,Heard about a new Broadway opening on North. Definitely worth checking out!,33.711109,-84.440883,Neutral,0.9989987015724182,Other Areas
Infrastructure Work,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.73437,-84.3112,Neutral,0.999975562,Other Areas
Community Meeting,"Avoid Highland during rush hour, construction is causing major delays.",33.833393,-84.34641,Negative,0.9993498921394348,Other Areas
Traffic Update,The annual street fair at Broadway is this Saturday. Great food and local crafts!,33.700305,-84.411674,Neutral,0.999975562,Other Areas
Local Event,Public transport update: 5th line will have altered schedules this week.,33.698549,-84.430276,Neutral,0.9999994039535522,Other Areas
Traffic Update,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.872428,-84.39135,Neutral,0.9999657869338988,Other Areas
Park Renovation,The annual street fair at River is this Saturday. Great food and local crafts!,33.78126,-84.484085,Neutral,0.9999666213989258,Other Areas
Local Event,"Avoid Broadway during rush hour, construction is causing major delays.",33.834159,-84.343204,Negative,0.9960518479347228,Other Areas
Traffic Update,"Heads up, River is undergoing some major infrastructure work for the next month.",33.769814,-84.326374,Neutral,0.9999222755432128,Other Areas
Pothole Alert,Don't miss the Elm happening this weekend at River. Always a good time!,33.747556,-84.503022,Positive,0.9706379175186156,Other Areas
Pothole Alert,"Heads up, River is undergoing some major infrastructure work for the next month.",33.812631,-84.468287,Neutral,0.9999222755432128,Other Areas
Street Fair,Heard about a new Maple opening on River. Definitely worth checking out!,33.816919,-84.320045,Neutral,0.9992803931236268,Other Areas
Traffic Update,Excited about the new renovations at Main. It's going to be great for the community!,33.750726,-84.348868,Positive,0.9999997615814208,Other Areas
Community Meeting,Don't miss the River happening this weekend at Maple. Always a good time!,33.786973,-84.458441,Positive,0.988943338,Other Areas
Local Event,Excited about the new renovations at North. It's going to be great for the community!,33.836682,-84.341625,Positive,0.9999997615814208,Other Areas
Park Renovation,Public transport update: River line will have altered schedules this week.,33.688555,-84.338753,Neutral,0.999998927,Other Areas
Local Event,Heard about a new River opening on 5th. Definitely worth checking out!,33.698896,-84.498366,Neutral,0.9996552467346193,Other Areas
New Restaurant Opening,Community meeting at Highland this Thursday to discuss the new Broadway development.,33.875416,-84.401398,Neutral,0.9999988079071044,Other Areas
Pothole Alert,"Avoid Main during rush hour, construction is causing major delays.",33.861825,-84.44345,Negative,0.9989157915115356,Other Areas
New Restaurant Opening,Excited about the new renovations at Main. It's going to be great for the community!,33.817241,-84.397149,Positive,0.9999997615814208,Other Areas
Public Transport Notice,Community meeting at Peachtree this Thursday to discuss the new North development.,33.814203,-84.510676,Neutral,0.9999994039535522,Other Areas
New Restaurant Opening,Watch out for a giant pothole on Main Street. Be careful driving!,33.828168,-84.403612,Neutral,0.9950763583183287,Buckhead
Street Fair,Watch out for a giant pothole on Peachtree Street. Be careful driving!,33.672773,-84.47771,Neutral,0.997808278,Other Areas
Pothole Alert,Community meeting at River this Thursday to discuss the new Maple development.,33.721778,-84.331448,Neutral,0.999998927,Other Areas
New Restaurant Opening,Public transport update: Maple line will have altered schedules this week.,33.762922,-84.52911,Neutral,0.999998927,Other Areas
Park Renovation,Watch out for a giant pothole on North Street. Be careful driving!,33.794831,-84.319314,Neutral,0.9953041076660156,Emory
Local Event,Watch out for a giant pothole on Broadway Street. Be careful driving!,33.742908,-84.485712,Neutral,0.9937437176704408,Other Areas
Street Fair,The annual street fair at Peachtree is this Saturday. Great food and local crafts!,33.743166,-84.517836,Neutral,0.9998717308044434,Other Areas
Pothole Alert,Heard about a new Elm opening on Peachtree. Definitely worth checking out!,33.664524,-84.437829,Neutral,0.9997137188911438,Other Areas
Traffic Update,The annual street fair at Elm is this Saturday. Great food and local crafts!,33.735997,-84.394492,Neutral,0.9998862743377686,Other Areas
Public Transport Notice,Don't miss the Main happening this weekend at Peachtree. Always a good time!,33.8817,-84.386807,Positive,0.9151755571365356,Other Areas
Community Meeting,Excited about the new renovations at Highland. It's going to be great for the community!,33.81237,-84.40133,Positive,0.9999997615814208,Other Areas
Pothole Alert,"Avoid Elm during rush hour, construction is causing major delays.",33.746901,-84.396658,Negative,0.9986013770103456,Downtown Atlanta
New Restaurant Opening,"Avoid Peachtree during rush hour, construction is causing major delays.",33.831294,-84.458805,Negative,0.9967148303985596,Other Areas
Community Meeting,Community meeting at Broadway this Thursday to discuss the new River development.,33.771532,-84.370628,Neutral,0.999998927,Other Areas
Street Fair,Public transport update: Elm line will have altered schedules this week.,33.716358,-84.390591,Neutral,0.9999988079071044,Other Areas
Infrastructure Work,Don't miss the River happening this weekend at 5th. Always a good time!,33.830448,-84.467288,Positive,0.9838798642158508,Other Areas
Public Transport Notice,Watch out for a giant pothole on Elm Street. Be careful driving!,33.692268,-84.493559,Neutral,0.9965171813964844,Other Areas
Street Fair,"Heads up, 5th is undergoing some major infrastructure work for the next month.",33.764795,-84.504291,Neutral,0.9999618530273438,Other Areas
Local Event,"Avoid Highland during rush hour, construction is causing major delays.",33.803739,-84.496754,Negative,0.9993498921394348,Other Areas
Public Transport Notice,"Avoid 5th during rush hour, construction is causing major delays.",33.797197,-84.437994,Negative,0.9998218417167664,Other Areas
New Restaurant Opening,Heard about a new Maple opening on Broadway. Definitely worth checking out!,33.736339,-84.445462,Neutral,0.999620795,Other Areas
Community Meeting,Heard about a new 5th opening on River. Definitely worth checking out!,33.770552,-84.408011,Neutral,0.9996618032455444,Other Areas
Public Transport Notice,Excited about the new renovations at Elm. It's going to be great for the community!,33.760108,-84.374738,Positive,0.9999996423721312,Other Areas
Public Transport Notice,Excited about the new renovations at North. It's going to be great for the community!,33.829973,-84.311407,Positive,0.9999997615814208,Other Areas
Community Meeting,Don't miss the River happening this weekend at Main. Always a good time!,33.756161,-84.345577,Positive,0.9888895750045776,Other Areas
Infrastructure Work,Excited about the new renovations at Peachtree. It's going to be great for the community!,33.876735,-84.461804,Positive,0.9999996423721312,Other Areas
Public Transport Notice,"Heads up, Main is undergoing some major infrastructure work for the next month.",33.720606,-84.351188,Neutral,0.9999657869338988,Other Areas
Pothole Alert,Heard about a new 5th opening on Broadway. Definitely worth checking out!,33.666596,-84.352761,Neutral,0.9997230172157288,Other Areas
Infrastructure Work,Public transport update: Broadway line will have altered schedules this week.,33.709532,-84.368522,Neutral,0.9999985694885254,Other Areas
